,state_name,county_fips,county_name,votes_gop,votes_dem,total_votes,diff,per_gop,per_dem,per_point_diff,fips
201,California,6009,Calaveras County,16518,10046,27164,6472,0.6080842291267855,0.369827713149757,0.2382565159770284,06009
202,California,6011,Colusa County,4554,3234,7951,1320,0.5727581436297321,0.4067412904037228,0.1660168532260093,06011
203,California,6013,Contra Costa County,152877,416386,581230,-263509,0.2630232438105397,0.716387660650689,-0.4533644168401493,06013
204,California,6015,Del Norte County,6461,4677,11452,1784,0.5641809290953546,0.4084002794271743,0.1557806496681802,06015
205,California,6017,El Dorado County,61838,51621,116138,10217,0.5324527717026296,0.4444798429454614,0.0879729287571681,06017
206,California,6019,Fresno County,164464,193025,364809,-28561,0.4508222110748364,0.5291124944834146,-0.0782902834085781,06019
207,California,6021,Glenn County,7063,3995,11292,3068,0.625487070492384,0.3537902940134608,0.2716967764789231,06021
208,California,6023,Humboldt County,21770,44768,68828,-22998,0.3162956936130645,0.6504329633288778,-0.3341372697158133,06023
209,California,6025,Imperial County,20847,34678,56718,-13831,0.3675552734581614,0.6114108395923693,-0.2438555661342079,06025
210,California,6027,Inyo County,4620,4634,9481,-14,0.4872903702141124,0.4887670076996097,-0.0014766374854973,06027
211,California,6029,Kern County,164484,133366,305226,31118,0.5388924927758448,0.4369418070544449,0.1019506857213999,06029
212,California,6031,Kings County,24072,18699,43858,5373,0.5488622372201195,0.4263532308814811,0.1225090063386383,06031
213,California,6033,Lake County,13123,14941,28800,-1818,0.4556597222222222,0.5187847222222223,-0.063125,06033
214,California,6035,Lassen County,8970,2799,11985,6171,0.7484355444305382,0.2335419274092615,0.5148936170212766,06035
215,California,6037,Los Angeles County,1145530,3028885,4263443,-1883355,0.2686865990702819,0.7104316863154967,-0.4417450872452148,06037
216,California,6039,Madera County,29378,23168,53722,6210,0.5468523137634489,0.4312572130598265,0.1155951007036223,06039
217,California,6041,Marin County,24612,128288,155801,-103676,0.157970744732062,0.8234093491055898,-0.6654386043735278,06041
218,California,6043,Mariposa County,5950,4088,10280,1862,0.5787937743190662,0.3976653696498054,0.1811284046692607,06043
219,California,6045,Mendocino County,13267,28782,43336,-15515,0.3061426989108362,0.664159128669005,-0.3580164297581687,06045
220,California,6047,Merced County,39397,48991,90541,-9594,0.4351288366596348,0.5410918810262754,-0.1059630443666405,06047
221,California,6049,Modoc County,3109,1150,4338,1959,0.7166897187644076,0.2650991240202858,0.4515905947441217,06049
222,California,6051,Mono County,2513,4013,6737,-1500,0.3730146949680867,0.5956657265845332,-0.2226510316164465,06051
223,California,6053,Monterey County,46299,113953,163883,-67654,0.2825125241788349,0.6953314254681694,-0.4128189012893345,06053
224,California,6055,Napa County,20676,49817,72122,-29141,0.2866809018052744,0.6907323701505782,-0.4040514683453038,06055
225,California,6057,Nevada County,26779,36359,64738,-9580,0.4136519509407149,0.5616330439618153,-0.1479810930211004,06057
226,California,6059,Orange County,676498,814009,1521725,-137511,0.4445599566281687,0.5349251671622665,-0.0903652105340977,06059
227,California,6061,Placer County,122488,106869,235017,15619,0.5211878289655641,0.4547288068522702,0.0664590221132939,06061
228,California,6063,Plumas County,6445,4561,11256,1884,0.5725835110163469,0.4052061122956645,0.1673773987206823,06063
229,California,6065,Riverside County,448702,527945,996156,-79243,0.4504334662442428,0.5299822517758263,-0.0795487855315834,06065
230,California,6067,Sacramento County,259405,440808,718290,-181403,0.3611424355065503,0.6136908490999458,-0.2525484135933954,06067
231,California,6069,San Benito County,10590,17628,28821,-7038,0.3674404080358072,0.6116373477672531,-0.2441969397314458,06069
232,California,6071,San Bernardino County,366257,455859,840931,-89602,0.4355375173468453,0.5420884709922693,-0.106550953645424,06071
233,California,6073,San Diego County,600094,964650,1601722,-364556,0.374655526989078,0.6022580697524289,-0.2276025427633509,06073
234,California,6075,San Francisco County,56417,378156,443458,-321739,0.1272206161575617,0.8527436645634987,-0.725523048405937,06075
235,California,6077,San Joaquin County,121098,161137,288443,-40039,0.419833381291971,0.5586441688652524,-0.1388107875732813,06077
236,California,6079,San Luis Obispo County,67436,88310,159681,-20874,0.4223169945077999,0.5530401237467201,-0.1307231292389201,06079
237,California,6081,San Mateo County,75563,291410,374138,-215847,0.2019655848911364,0.7788837273947046,-0.5769181425035681,06081
